COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,DIST
134,SS,SLD,DRV,25017,15.0375700150299
26,SS,SLD,DRV,25021,22.7750790156923
11,SS,SLD,DRV,25023,44.7191982472727
37,SS,SLD,DRV,25025,9.15749758356757
7,SS,SLD,DRV,25027,85.1198397428571
7,SS,SLD,DRV,33015,60.0647653014286
25,SS,SLD,DRV_T,25017,12.49353668256
12,SS,SLD,DRV_T,25025,6.56635573058333
9,SS,SLD,UNK,25009,37.9301276144444
72,SS,SLD,UNK,25017,16.6725467855417
26,SS,SLD,UNK,25021,19.2761547571923
5,SS,SLD,UNK,25023,34.726503068
25,SS,SLD,UNK,25025,6.61417738012
8,SS,SLD,UNK,25027,70.56154733625
9,SS,SLD,UNK,33011,77.0613424311111
6,SS,SLD,WLK,25017,1.699054828
10,SS,SLD,WLK_T,25009,36.113573029
105,SS,SLD,WLK_T,25017,9.49696218054286
32,SS,SLD,WLK_T,25021,16.579676761875
6,SS,SLD,WLK_T,25023,32.4575901383333
90,SS,SLD,WLK_T,25025,6.41813203952222
16,SS,SSM,DRV,25017,11.114473814125
5,SS,SSM,DRV_T,25017,6.0120683334
18,SS,SSM,WLK_T,25017,4.85525865955556
14,SS,SSM,WLK_T,25025,5.19998824057143
108,U,ENG,BIC,25017,0.646320497
44,U,ENG,BIC,25025,1.31845351527273
9,U,ENG,BIC_T,25017,0.563595999444444
10,U,ENG,BIC_T,25025,1.228696316
18,U,ENG,DRV,25017,0.7966535465
9,U,ENG,DRV,25025,1.76984044633333
12,U,ENG,SHT,25017,0.702756214833333
8,U,ENG,SHT,25021,3.655328547
31,U,ENG,SHT,25025,1.20206278751613
856,U,ENG,UNK,25017,0.598551352961443
5,U,ENG,UNK,25021,3.655328547
124,U,ENG,UNK,25025,1.18671206781452
538,U,ENG,WLK,25017,0.577262644302974
33,U,ENG,WLK,25025,1.17214977109091
77,U,ENG,WLK_T,25017,1.07203087206493
68,U,ENG,WLK_T,25025,1.38686799169118
7,U,HAS,BIC,25017,0.968830993285714
53,U,HAS,UNK,25017,0.659489263490566
8,U,HAS,UNK,25025,1.124991731
19,U,HAS,WLK,25017,0.63655550768421
11,U,HAS,WLK_T,25017,0.988623550636364
6,U,HAS,WLK_T,25025,1.73442254916667
14,U,SAP,UNK,25017,0.569249270071428
16,U,SAP,WLK,25017,0.6074523079375
5,U,SAP,WLK_T,25017,1.8076927814
45,U,SCI,BIC,25017,0.782562502755555
13,U,SCI,BIC,25025,1.27707868784615
10,U,SCI,BIC_T,25017,0.6863692212
6,U,SCI,BIC_T,25025,1.476896183
5,U,SCI,DRV,25017,5.773715999
11,U,SCI,SHT,25021,3.46080149336364
6,U,SCI,SHT,25025,1.235880367
381,U,SCI,UNK,25017,0.646698967548558
44,U,SCI,UNK,25025,1.24082393177273
229,U,SCI,WLK,25017,0.604273288441047
6,U,SCI,WLK,25025,1.04578776766667
21,U,SCI,WLK_T,25017,0.732223335714286
12,U,SCI,WLK_T,25025,1.2889300935
37,U,SSM,UNK,25017,0.452234479135135
5,U,SSM,UNK,25025,1.1073370842
16,U,SSM,WLK,25017,0.47482053225
8,U,SSM,WLK_T,25017,0.56819339025
7,U,SSM,WLK_T,25025,1.12600471971429
97,U,UNDEC,BIC,25017,0.721476037484536
19,U,UNDEC,BIC_T,25017,0.698639015684211
5,U,UNDEC,CARPOOL,25017,0.6725815772
11,U,UNDEC,DRV,25017,0.689135119727273
11,U,UNDEC,SHT,25017,0.733542972727273
485,U,UNDEC,UNK,25017,0.631446804618557
7,U,UNDEC,UNK,25025,1.65961905271429
490,U,UNDEC,WLK,25017,0.586729770893879
45,U,UNDEC,WLK_T,25017,0.747393087355556
