Latitude,Longitude,Mode,FIPS,Distance
42.37252519,-71.11450993,BIC,250174000000,2.747833106
42.35923019,-71.10446294,BIC,250174000000,1.111084741
42.35877538,-71.10161974,BIC,250174000000,1.111084741
42.36924978,-71.09118817,BIC,250174000000,1.252834916
42.35275196,-71.10628906,BIC,250174000000,0.761364729
42.35459671,-71.10958815,BIC,250174000000,1.716018229
42.35486539,-71.10402082,BIC,250174000000,0.761364729
42.35363146,-71.09940089,BIC,250174000000,0.761364729
42.353069,-71.10683316,BIC,250174000000,0.761364729
42.36820262,-71.08937095,BIC,250174000000,1.252834916
42.35454265,-71.09379522,BIC,250174000000,0.761364729
42.36415803,-71.08606926,BIC,250174000000,0.878575455
42.35416381,-71.09254192,BIC,250174000000,0.761364729
42.35994486,-71.09475535,BIC,250174000000,0.761364729
42.36776556,-71.08952903,BIC,250174000000,1.252834916
42.35451864,-71.10431637,BIC,250174000000,0.761364729
42.37841704,-71.09941364,BIC,250174000000,2.157775814
42.37832461,-71.10150561,BIC,250174000000,2.371040442
42.35684971,-71.095062,BIC,250174000000,0.364101878
42.36556171,-71.10666199,BIC,250174000000,1.777105695
42.3594868,-71.09567308,BIC,250174000000,0.761364729
42.36315795,-71.08114586,BIC,250174000000,1.562894915
42.35360443,-71.09532385,BIC,250174000000,0.761364729
42.35571336,-71.10390752,BIC,250174000000,0.761364729
42.36872048,-71.09486553,BIC,250174000000,1.16990972
42.36641542,-71.10752178,BIC,250174000000,1.777105695
42.35602235,-71.09695019,BIC,250174000000,0.364101878
42.37243393,-71.09209727,BIC,250174000000,1.263809294
42.35414339,-71.10745518,BIC,250174000000,0.761364729
42.35789554,-71.09369175,BIC,250174000000,0.364101878
42.35349469,-71.10880114,BIC,250174000000,0.761364729
42.36285852,-71.10913924,BIC,250174000000,1.515813951
42.358652,-71.10087205,BIC,250174000000,1.111084741
42.35924286,-71.1026083,BIC,250174000000,1.111084741
42.37234306,-71.09530099,BIC,250174000000,1.396256463
42.35714198,-71.10354787,BIC,250174000000,1.292386981
42.36534096,-71.07604649,BIC,250174000000,2.122896038
42.35544587,-71.09481082,BIC,250174000000,0.761364729
42.35786556,-71.1039395,BIC,250174000000,1.111084741
42.36517485,-71.11069466,BIC,250174000000,2.171007549
42.36208407,-71.10562534,BIC,250174000000,1.515813951
42.36247522,-71.10251036,BIC,250174000000,1.111084741
42.35403957,-71.10380796,BIC,250174000000,0.761364729
42.35534537,-71.09761276,BIC,250174000000,0.364101878
42.35361796,-71.109288,BIC,250174000000,1.716018229
42.35901119,-71.10204533,BIC,250174000000,1.111084741
42.37858936,-71.10472039,BIC,250174000000,2.371040442
42.35371047,-71.09845233,BIC,250174000000,0.761364729
42.37511594,-71.09808895,BIC,250174000000,1.903551071
42.35920881,-71.10243572,BIC,250174000000,1.111084741
42.36740619,-71.10315578,BIC,250174000000,1.540750848
42.36083702,-71.10574149,BIC,250174000000,1.111084741
42.34457785,-71.1137042,SHT,250214000000,2.585429752
42.34873365,-71.12345748,SHT,250214000000,3.655328547
42.34634027,-71.12749848,SHT,250214000000,3.655328547
42.34786633,-71.12326258,SHT,250214000000,3.655328547
42.35703698,-71.07264529,WLK,250250000000,2.428318455
42.34933238,-71.09594982,WLK,250250000000,0.994595435
42.34679891,-71.07975864,WLK,250250000000,2.187094154
