Count,Affiliation,Area,Commute Type,County,Distance,Time
8,SS,SCI,T,25021,12.3415441111,185.134732588
14,SS,SCI,T,25025,5.21872938821,137.000208954
7,SS,SLD,BIC,25017,2.18022924771,38.154011835
23,SS,SLD,CARPOOL,25017,11.9075426203,583.578692235
5,SS,SLD,CARPOOL,25021,17.8658187416,190.345394647
9,SS,SLD,CARPOOL,25025,9.64864957722,185.036961847
31,SS,SLD,DRV,25009,31.4928322816,1464.56315741
134,SS,SLD,DRV,25017,15.037570015,3022.85385841
26,SS,SLD,DRV,25021,22.7750790157,888.316913303
11,SS,SLD,DRV,25023,44.7191982473,737.940565137
37,SS,SLD,DRV,25025,9.15749758357,508.291945083
7,SS,SLD,DRV,25027,85.1198397429,893.84770207
7,SS,SLD,DRV,33015,60.0647653014,630.743109976
25,SS,SLD,T,25017,12.4935366826,585.671136441
12,SS,SLD,T,25025,6.56635573058,147.752238453
6,SS,SLD,WLK,25017,1.699054828,122.380899976
10,SS,SLD,T,25009,36.113573029,677.171817532
105,SS,SLD,T,25017,9.49696218054,1869.83129375
32,SS,SLD,T,25021,16.5796767619,994.842783386
6,SS,SLD,T,25023,32.4575901383,365.170712226
90,SS,SLD,T,25025,6.41813203952,1083.12747714
16,SS,SSM,DRV,25017,11.1144738141,266.774048944
5,SS,SSM,T,25017,6.0120683334,56.3666635421
18,SS,SSM,T,25017,4.85525865956,163.875221961
14,SS,SSM,T,25025,5.19998824057,136.508223079
108,U,ENG,BIC,25017,0.646320497,174.50653419
44,U,ENG,BIC,25025,1.31845351527,145.02988668
9,U,ENG,T,25017,0.563595999444,9.51127694543
10,U,ENG,T,25025,1.228696316,23.0394958935
18,U,ENG,DRV,25017,0.7966535465,21.5117969352
9,U,ENG,DRV,25025,1.76984044633,23.8952355491
12,U,ENG,SHT,25017,0.702756214833,17.9694749158
8,U,ENG,SHT,25021,3.655328547,62.3111621053
31,U,ENG,SHT,25025,1.20206278752,79.4032525314
538,U,ENG,WLK,25017,0.577262644303,3728.2989512
33,U,ENG,WLK,25025,1.17214977109,464.357052173
77,U,ENG,T,25017,1.07203087206,154.784131163
68,U,ENG,T,25025,1.38686799169,176.836721236
7,U,HAS,BIC,25017,0.968830993286,16.9545423825
19,U,HAS,WLK,25017,0.636555507684,145.192732845
11,U,HAS,T,25017,0.988623550636,20.3916352091
6,U,HAS,T,25025,1.73442254917,19.5134732702
16,U,SAP,WLK,25017,0.607452307938,116.67751413
5,U,SAP,T,25017,1.8076927814,16.9481790868
45,U,SCI,BIC,25017,0.782562502756,88.03828156
13,U,SCI,BIC,25025,1.27707868785,41.505057355
10,U,SCI,T,25017,0.6863692212,12.8702272867
6,U,SCI,T,25025,1.476896183,16.6161205663
5,U,SCI,DRV,25017,5.773715999,43.3072007126
11,U,SCI,SHT,25021,3.46080149336,81.1182962433
6,U,SCI,SHT,25025,1.235880367,15.8007291754
229,U,SCI,WLK,25017,0.604273288441,1661.20747963
6,U,SCI,WLK,25025,1.04578776767,75.326850012
21,U,SCI,T,25017,0.732223335714,28.8330959122
12,U,SCI,T,25025,1.2889300935,29.002739775
16,U,SSM,WLK,25017,0.47482053225,91.2020230012
8,U,SSM,T,25017,0.56819339025,8.52343356835
7,U,SSM,T,25025,1.12600471971,14.7797356797
97,U,UNDEC,BIC,25017,0.721476037485,174.95793909
19,U,UNDEC,T,25017,0.698639015684,24.8905705944
5,U,UNDEC,CARPOOL,25017,0.6725815772,7.16579562327
11,U,UNDEC,DRV,25017,0.689135119727,11.3718666622
11,U,UNDEC,SHT,25017,0.733542972727,17.1936345621
490,U,UNDEC,WLK,25017,0.586729770894,3451.35159349
45,U,UNDEC,T,25017,0.747393087356,63.0652333227
